5000, 1176
5001, 2336
5002, 2388
5003, 2367
5004, 1965
5005, 2484
5006, 2536
5007, 2554
5008, 2559
5009, 2594
5010, 2581
5011, 2614
5012, 2174
5013, 2167
5014, 2010
5015, 2529
5016, 2581
5017, 2129
5018, 2125
5019, 2010
5020, 2435
5021, 2414
5022, 2014
5023, 2046
5024, 2573
5025, 2615
5026, 2616
5027, 2617
5028, 2618
5029, 2619
5030, 2620
5031, 2621
5032, 2622
5033, 2623
5034, 2624
5035, 2625
5036, 2626
5037, 2627
5038, 2628
5039, 2629
5040, 2630
5041, 2631
5042, 2147
5043, 2108
5044, 2610
5045, 2652
5046, 2653
5047, 2654
5048, 2655
5049, 2656
5050, 2657
5051, 2658
5052, 2659
5053, 2660
5054, 2661
5055, 2662
5056, 2663
5057, 2664
5058, 2665
5059, 2666
5060, 2667
5061, 2668
5062, 2669
5063, 2670
5064, 2671
5065, 2672
5066, 2673
5067, 2674
5068, 2675
5069, 2676
5070, 2192
5071, 2638
5072, 2139
5073, 2059
5074, 2478
5075, 2457
5076, 2540
5077, 2100
5078, 2524
5079, 2503
5080, 2102
5081, 2525
5082, 2504
5083, 2590
5084, 2150
5085, 2570
5086, 2549
5087, 2149
5088, 2570
5089, 2549
5090, 2149
5091, 2181
5092, 2689
5093, 2731
5094, 2732
5095, 2733
5096, 2249
5097, 2695
5098, 2206
5099, 2194
5100, 2226
5101, 2734
5102, 2776
5103, 2777
5104, 2778
5105, 2779
5106, 2780
5107, 2781
5108, 2782
5109, 2783
5110, 2784
5111, 2785
5112, 2301
5113, 2747
5114, 2261
5115, 2194
5116, 2614
5117, 2593
5118, 2613
5119, 2592
5120, 2198
5121, 2618
5122, 2597
5123, 2613
5124, 2592
5125, 2189
5126, 2702
5127, 2355
5128, 2424
5129, 2336
5130, 2956
5131, 2906
5132, 2421
5133, 2821
5134, 2273
5135, 2234
5136, 2173
5137, 2152
5138, 2243
5139, 2139
5140, 2492
5141, 2588
5142, 2596
5143, 2535
5144, 2438
5145, 2249
5146, 2805
5147, 2047
5148, 1273
